Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1829, 1871, 1848, 1871, 1690
14, 16, 158, 755, 2800, 2616, 2784, 697
11, 41, 131, 855, 2831, 2691, 2790, 788
39, 43, 8, 638, 2130, 2044, 2087, 597
36, 50, 168, 978, 2899, 2793, 2849, 905
17, 55, 162, 1078, 2961, 2822, 2906, 995
5, 58, 168, 266, 2748, 2532, 2690, 250
10, 67, 99, 1492, 1591, 1349, 1524, 1378
37, 68, 65, 1246, 1311, 1063, 1243, 1154
12, 73, 56, 514, 755, 520, 682, 483
13, 83, 84, 1620, 1704, 1500, 1621, 1487
49, 87, 139, 2394, 3247, 3131, 3160, 2194
16, 92, 180, 2030, 3187, 3072, 3095, 1866
31, 94, 94, 2594, 2688, 2442, 2594, 2381
5, 107, 125, 166, 2691, 2516, 2584, 156
15, 114, 175, 1334, 3036, 2854, 2922, 1227
36, 127, 64, 2230, 2294, 2064, 2167, 2054
18, 133, 121, 2294, 3208, 2909, 3075, 2110
33, 137, 157, 2494, 3247, 2992, 3110, 2288
2, 139, 23, 1311, 1334, 1101, 1195, 1217
11, 148, 155, 1704, 3091, 2786, 2943, 1567
47, 163, 47, 708, 1620, 1393, 1457, 658
20, 164, 23, 955, 2394, 2159, 2230, 887
11, 167, 43, 1871, 1914, 1663, 1747, 1724
41, 169, 62, 646, 708, 531, 539, 603
27, 176, 48, 366, 414, 39, 238, 346
27, 180, 103, 2130, 3187, 2945, 3007, 1961
28, 184, 166, 0, 1334, 1062, 1150, 0
19, 200, 29, 1591, 1930, 1580, 1730, 1468
21, 213, 152, 414, 2800, 2454, 2587, 391
24, 216, 116, 1930, 3107, 2844, 2891, 1767
24, 236, 68, 1178, 1246, 871, 1010, 1091
29, 244, 16, 1914, 1930, 1532, 1686, 1761

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
