Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1678, 1720, 1697, 1720, 1539
14, 16, 158, 707, 2583, 2399, 2567, 649
11, 41, 131, 787, 2634, 2494, 2593, 720
39, 43, 8, 590, 1939, 1853, 1896, 549
36, 50, 168, 890, 3210, 3104, 3160, 817
17, 55, 162, 970, 3212, 3073, 3157, 887
5, 58, 168, 246, 2583, 2450, 2525, 230
10, 67, 99, 1364, 2893, 2651, 2826, 1250
37, 68, 65, 1118, 1183, 935, 1115, 1026
12, 73, 56, 454, 707, 472, 634, 423
13, 83, 84, 1473, 2897, 2693, 2814, 1340
49, 87, 139, 2163, 3188, 3072, 3101, 1963
16, 92, 180, 1859, 3247, 3132, 3155, 1695
31, 94, 94, 2323, 3202, 2956, 3108, 2110
5, 107, 125, 160, 2426, 2251, 2319, 150
15, 114, 175, 1206, 3227, 3045, 3113, 1099
36, 127, 64, 2019, 2083, 1853, 1956, 1843
18, 133, 121, 2083, 3129, 2830, 2996, 1899
33, 137, 157, 2243, 3188, 2933, 3051, 2037
2, 139, 23, 1183, 1206, 973, 1067, 1089
11, 148, 155, 1553, 2972, 2667, 2824, 1416
47, 163, 47, 660, 1473, 1246, 1310, 610
20, 164, 23, 867, 2163, 1928, 1999, 799
11, 167, 43, 1720, 1763, 1512, 1596, 1573
41, 169, 62, 598, 660, 483, 491, 555
27, 176, 48, 326, 374, -1, 198, 306
27, 180, 103, 1939, 3088, 2846, 2908, 1770
28, 184, 166, 0, 1206, 934, 1022, 0
19, 200, 29, 1444, 1779, 1429, 1579, 1321
21, 213, 152, 374, 2583, 2237, 2370, 351
24, 216, 116, 1779, 3008, 2745, 2792, 1616
24, 236, 68, 1050, 1118, 743, 882, 963
29, 244, 16, 1763, 1779, 1381, 1535, 1610

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
