Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 168, 1723, 1700, 1723, 29
14, 16, 158, 70, 2465, 2324, 2449, 12
11, 41, 131, 80, 3017, 2877, 2976, 13
39, 43, 8, 49, 202, 116, 159, 8
36, 50, 168, 88, 3220, 3114, 3170, 15
17, 55, 162, 99, 3204, 3065, 3149, 16
5, 58, 168, 19, 2450, 2234, 2392, 3
10, 67, 99, 137, 2740, 2498, 2673, 23
37, 68, 65, 110, 2202, 1954, 2134, 18
12, 73, 56, 37, 1078, 874, 1005, 6
13, 83, 84, 159, 2568, 2364, 2485, 26
49, 87, 139, 239, 3115, 2999, 3028, 39
16, 92, 180, 198, 3247, 3132, 3155, 34
31, 94, 94, 254, 2720, 2474, 2626, 41
5, 107, 125, 11, 1357, 1219, 1250, 1
15, 114, 175, 128, 3239, 3057, 3125, 21
36, 127, 64, 212, 1494, 1319, 1367, 36
18, 133, 121, 221, 2978, 2679, 2845, 37
33, 137, 157, 246, 2547, 2394, 2410, 40
2, 139, 23, 113, 1028, 795, 889, 19
11, 148, 155, 164, 3187, 2882, 3039, 27
47, 163, 47, 60, 1053, 826, 890, 10
20, 164, 23, 82, 617, 388, 453, 14
11, 167, 43, 177, 1760, 1509, 1593, 30
41, 169, 62, 52, 2055, 1878, 1886, 9
27, 176, 48, 24, 1600, 1225, 1424, 4
27, 180, 103, 204, 2018, 1776, 1838, 35
28, 184, 166, 0, 1760, 1488, 1576, 0
19, 200, 29, 147, 800, 545, 600, 24
21, 213, 152, 28, 3125, 2779, 2912, 5
24, 216, 116, 196, 2927, 2664, 2711, 33
24, 236, 68, 104, 2255, 1880, 2019, 17
29, 244, 16, 184, 850, 452, 606, 31

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
