Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1760, 1802, 1779, 1802, 1621
14, 16, 158, 735, 2697, 2513, 2681, 677
11, 41, 131, 825, 2738, 2598, 2697, 758
39, 43, 8, 618, 2041, 1955, 1998, 577
36, 50, 168, 938, 2816, 2710, 2766, 865
17, 55, 162, 1028, 2888, 2749, 2833, 945
5, 58, 168, 256, 2635, 2419, 2577, 240
10, 67, 99, 1432, 2982, 2740, 2915, 1318
37, 68, 65, 1186, 1251, 1003, 1183, 1094
12, 73, 56, 484, 735, 500, 662, 453
13, 83, 84, 1551, 1635, 1431, 1552, 1418
49, 87, 139, 2285, 3243, 3127, 3156, 2085
16, 92, 180, 1951, 3163, 3048, 3071, 1787
31, 94, 94, 2465, 3247, 3001, 3153, 2252
5, 107, 125, 166, 2568, 2393, 2461, 156
15, 114, 175, 1274, 2973, 2791, 2859, 1167
36, 127, 64, 2131, 2195, 1965, 2068, 1955
18, 133, 121, 2195, 3194, 2895, 3061, 2011
33, 137, 157, 2375, 3243, 2988, 3106, 2169
2, 139, 23, 1251, 1274, 1041, 1135, 1157
11, 148, 155, 1635, 3047, 2742, 2899, 1498
47, 163, 47, 688, 1551, 1324, 1388, 638
20, 164, 23, 915, 2285, 2050, 2121, 847
11, 167, 43, 1802, 1845, 1594, 1678, 1655
41, 169, 62, 626, 688, 511, 519, 583
27, 176, 48, 346, 394, 19, 218, 326
27, 180, 103, 2041, 3163, 2921, 2983, 1872
28, 184, 166, 0, 1274, 1002, 1090, 0
19, 200, 29, 1522, 1861, 1511, 1661, 1399
21, 213, 152, 394, 2697, 2351, 2484, 371
24, 216, 116, 1861, 3073, 2810, 2857, 1698
24, 236, 68, 1118, 1186, 811, 950, 1031
29, 244, 16, 1845, 1861, 1463, 1617, 1692

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
