Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1112, 2200, 2177, 2200, 973
14, 16, 158, 504, 2551, 2367, 2535, 446
11, 41, 131, 544, 2987, 2847, 2946, 477
39, 43, 8, 400, 1328, 1242, 1285, 359
36, 50, 168, 607, 3210, 3104, 3160, 534
17, 55, 162, 687, 3212, 3073, 3157, 604
5, 58, 168, 160, 2551, 2418, 2493, 144
10, 67, 99, 916, 2730, 2488, 2663, 802
37, 68, 65, 767, 2000, 1752, 1932, 675
12, 73, 56, 280, 1725, 1521, 1652, 249
13, 83, 84, 992, 2734, 2530, 2651, 859
49, 87, 139, 1472, 3202, 3086, 3115, 1272
16, 92, 180, 1288, 3247, 3132, 3155, 1124
31, 94, 94, 1560, 2944, 2698, 2850, 1347
5, 107, 125, 80, 2198, 2060, 2091, 70
15, 114, 175, 836, 3227, 3045, 3113, 729
36, 127, 64, 1368, 2314, 2139, 2187, 1192
18, 133, 121, 1432, 3183, 2884, 3050, 1248
33, 137, 157, 1520, 2930, 2675, 2793, 1314
2, 139, 23, 807, 830, 597, 691, 713
11, 148, 155, 1032, 3142, 2837, 2994, 895
47, 163, 47, 448, 1787, 1456, 1624, 398
20, 164, 23, 584, 1472, 1237, 1308, 516
11, 167, 43, 1152, 2203, 1952, 2036, 1005
41, 169, 62, 408, 1787, 1610, 1618, 365
27, 176, 48, 200, 1520, 1145, 1344, 180
27, 180, 103, 1328, 2474, 2141, 2294, 1159
28, 184, 166, 0, 1765, 1539, 1581, 0
19, 200, 29, 956, 1248, 898, 1048, 833
21, 213, 152, 240, 2976, 2630, 2763, 217
24, 216, 116, 1248, 2810, 2547, 2594, 1085
24, 236, 68, 727, 1975, 1600, 1739, 640
29, 244, 16, 1192, 1208, 810, 964, 1039

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
