Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 428, 1837, 1814, 1837, 289
14, 16, 158, 178, 2474, 2290, 2458, 120
11, 41, 131, 198, 3026, 2886, 2985, 131
39, 43, 8, 130, 508, 422, 465, 89
36, 50, 168, 228, 3210, 3104, 3160, 155
17, 55, 162, 248, 3212, 3073, 3157, 165
5, 58, 168, 50, 2424, 2291, 2366, 34
10, 67, 99, 348, 2704, 2462, 2637, 234
37, 68, 65, 278, 2218, 1970, 2150, 186
12, 73, 56, 100, 1162, 958, 1089, 69
13, 83, 84, 388, 2585, 2381, 2502, 255
49, 87, 139, 598, 3105, 2989, 3018, 398
16, 92, 180, 498, 3247, 3132, 3155, 334
31, 94, 94, 621, 2768, 2522, 2674, 408
5, 107, 125, 20, 1561, 1423, 1454, 10
15, 114, 175, 318, 3237, 3055, 3123, 211
36, 127, 64, 528, 1645, 1415, 1518, 352
18, 133, 121, 558, 3025, 2726, 2892, 374
33, 137, 157, 608, 2645, 2390, 2508, 402
2, 139, 23, 288, 1162, 929, 1023, 194
11, 148, 155, 398, 3192, 2887, 3044, 261
47, 163, 47, 148, 1222, 995, 1059, 98
20, 164, 23, 208, 1009, 774, 845, 140
11, 167, 43, 438, 1840, 1589, 1673, 291
41, 169, 62, 138, 2072, 1895, 1903, 95
27, 176, 48, 60, 1370, 995, 1194, 40
27, 180, 103, 518, 2165, 1832, 1985, 349
28, 184, 166, 0, 1755, 1529, 1571, 0
19, 200, 29, 368, 923, 573, 723, 245
21, 213, 152, 80, 3117, 2771, 2904, 57
24, 216, 116, 488, 2924, 2661, 2708, 325
24, 236, 68, 258, 2213, 1838, 1977, 171
29, 244, 16, 458, 913, 515, 669, 305

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
