Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1275, 1317, 1294, 1317, 1136
14, 16, 158, 575, 2798, 2614, 2782, 517
11, 41, 131, 625, 2829, 2689, 2788, 558
39, 43, 8, 448, 1476, 1390, 1433, 407
36, 50, 168, 698, 3175, 3069, 3125, 625
17, 55, 162, 748, 3187, 3048, 3132, 665
5, 58, 168, 200, 2647, 2431, 2589, 184
10, 67, 99, 1071, 2360, 2118, 2293, 957
37, 68, 65, 848, 2253, 2005, 2185, 756
12, 73, 56, 348, 1990, 1786, 1917, 317
13, 83, 84, 1150, 2394, 2190, 2311, 1017
49, 87, 139, 1640, 3155, 3039, 3068, 1440
16, 92, 180, 1426, 3247, 3132, 3155, 1262
31, 94, 94, 1790, 2741, 2495, 2647, 1577
5, 107, 125, 100, 2253, 1960, 2146, 90
15, 114, 175, 971, 3212, 3030, 3098, 864
36, 127, 64, 1526, 2547, 2372, 2420, 1350
18, 133, 121, 1590, 3116, 2817, 2983, 1406
33, 137, 157, 1740, 3155, 2900, 3018, 1534
2, 139, 23, 898, 921, 688, 782, 804
11, 148, 155, 1200, 3217, 2912, 3069, 1063
47, 163, 47, 506, 1150, 923, 987, 456
20, 164, 23, 675, 1640, 1405, 1476, 607
11, 167, 43, 1317, 1360, 1109, 1193, 1170
41, 169, 62, 456, 2020, 1843, 1851, 413
27, 176, 48, 250, 298, -77, 122, 230
27, 180, 103, 1476, 2741, 2408, 2561, 1307
28, 184, 166, 0, 1360, 1140, 1176, 0
19, 200, 29, 1121, 1376, 1026, 1176, 998
21, 213, 152, 298, 3157, 2811, 2944, 275
24, 216, 116, 1376, 3045, 2782, 2829, 1213
24, 236, 68, 798, 2238, 1863, 2002, 711
29, 244, 16, 1360, 1376, 978, 1132, 1207

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
