Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1425, 1467, 1444, 1467, 1286
14, 16, 158, 625, 2514, 2373, 2498, 567
11, 41, 131, 685, 2987, 2847, 2946, 618
39, 43, 8, 510, 1646, 1560, 1603, 469
36, 50, 168, 768, 3035, 2929, 2985, 695
17, 55, 162, 828, 3077, 2938, 3022, 745
5, 58, 168, 226, 2221, 2088, 2163, 210
10, 67, 99, 1151, 2553, 2311, 2486, 1037
37, 68, 65, 948, 2454, 2206, 2386, 856
12, 73, 56, 394, 625, 390, 552, 363
13, 83, 84, 1300, 2577, 2373, 2494, 1167
49, 87, 139, 1830, 3247, 3131, 3160, 1630
16, 92, 180, 1586, 3227, 3112, 3135, 1422
31, 94, 94, 1950, 2944, 2698, 2850, 1737
5, 107, 125, 120, 2553, 2260, 2446, 110
15, 114, 175, 1031, 3132, 2950, 3018, 924
36, 127, 64, 1706, 2753, 2578, 2626, 1530
18, 133, 121, 1770, 3228, 2929, 3095, 1586
33, 137, 157, 1890, 2944, 2791, 2807, 1684
2, 139, 23, 1008, 1031, 798, 892, 914
11, 148, 155, 1360, 3167, 2862, 3019, 1223
47, 163, 47, 578, 1300, 1073, 1137, 528
20, 164, 23, 745, 1830, 1595, 1666, 677
11, 167, 43, 1467, 1510, 1259, 1343, 1320
41, 169, 62, 518, 2223, 2046, 2054, 475
27, 176, 48, 286, 334, -41, 158, 266
27, 180, 103, 1646, 2753, 2511, 2573, 1477
28, 184, 166, 0, 1031, 759, 847, 0
19, 200, 29, 1271, 1526, 1176, 1326, 1148
21, 213, 152, 334, 2976, 2630, 2763, 311
24, 216, 116, 1526, 2693, 2430, 2477, 1363
24, 236, 68, 888, 2449, 2074, 2213, 801
29, 244, 16, 1510, 1526, 1128, 1282, 1357

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
