Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 1560, 1602, 1579, 1602, 1421
14, 16, 158, 667, 2705, 2564, 2689, 609
11, 41, 131, 737, 2495, 2355, 2454, 670
39, 43, 8, 550, 1801, 1715, 1758, 509
36, 50, 168, 830, 3135, 3029, 3085, 757
17, 55, 162, 900, 3157, 3018, 3102, 817
5, 58, 168, 236, 2416, 2283, 2358, 220
10, 67, 99, 1266, 2734, 2492, 2667, 1152
37, 68, 65, 1038, 1103, 855, 1035, 946
12, 73, 56, 424, 667, 432, 594, 393
13, 83, 84, 1365, 2748, 2544, 2665, 1232
49, 87, 139, 2005, 3054, 2938, 2967, 1805
16, 92, 180, 1731, 3247, 3132, 3155, 1567
31, 94, 94, 2145, 3095, 2849, 3001, 1932
5, 107, 125, 140, 2248, 2073, 2141, 130
15, 114, 175, 1126, 3192, 3010, 3078, 1019
36, 127, 64, 1871, 1935, 1705, 1808, 1695
18, 133, 121, 1935, 2985, 2686, 2852, 1751
33, 137, 157, 2075, 3095, 2942, 2958, 1869
2, 139, 23, 1103, 1126, 893, 987, 1009
11, 148, 155, 1435, 3207, 2902, 3059, 1298
47, 163, 47, 620, 1365, 1138, 1202, 570
20, 164, 23, 807, 2005, 1770, 1841, 739
11, 167, 43, 1602, 1645, 1394, 1478, 1455
41, 169, 62, 558, 620, 443, 451, 515
27, 176, 48, 306, 354, -21, 178, 286
27, 180, 103, 1801, 2934, 2692, 2754, 1632
28, 184, 166, 0, 1126, 854, 942, 0
19, 200, 29, 1336, 1661, 1311, 1461, 1213
21, 213, 152, 354, 3107, 2761, 2894, 331
24, 216, 116, 1661, 2864, 2601, 2648, 1498
24, 236, 68, 970, 1038, 663, 802, 883
29, 244, 16, 1645, 1661, 1263, 1417, 1492

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
