Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 952, 1873, 1850, 1873, 813
14, 16, 158, 394, 2665, 2481, 2649, 336
11, 41, 131, 454, 2985, 2845, 2944, 387
39, 43, 8, 300, 1106, 1020, 1063, 259
36, 50, 168, 507, 3175, 3069, 3125, 434
17, 55, 162, 537, 3187, 3048, 3132, 454
5, 58, 168, 120, 2394, 2178, 2336, 104
10, 67, 99, 756, 2794, 2552, 2727, 642
37, 68, 65, 627, 2326, 2078, 2258, 535
12, 73, 56, 240, 1411, 1207, 1338, 209
13, 83, 84, 862, 2418, 2214, 2335, 729
49, 87, 139, 1256, 3157, 3041, 3070, 1056
16, 92, 180, 1076, 3247, 3132, 3155, 912
31, 94, 94, 1316, 2974, 2728, 2880, 1103
5, 107, 125, 60, 2130, 1907, 2023, 50
15, 114, 175, 696, 3212, 3030, 3098, 589
36, 127, 64, 1136, 1980, 1750, 1853, 960
18, 133, 121, 1226, 3138, 2839, 3005, 1042
33, 137, 157, 1286, 2970, 2715, 2833, 1080
2, 139, 23, 657, 680, 447, 541, 563
11, 148, 155, 892, 3217, 2912, 3069, 755
47, 163, 47, 338, 1501, 1170, 1338, 288
20, 164, 23, 484, 1256, 1021, 1092, 416
11, 167, 43, 982, 1886, 1635, 1719, 835
41, 169, 62, 308, 2193, 2016, 2024, 265
27, 176, 48, 150, 1030, 655, 854, 130
27, 180, 103, 1106, 2508, 2266, 2328, 937
28, 184, 166, 0, 1651, 1431, 1467, 0
19, 200, 29, 816, 1046, 696, 846, 693
21, 213, 152, 180, 3137, 2791, 2924, 157
24, 216, 116, 1046, 2850, 2587, 2634, 883
24, 236, 68, 567, 2321, 1946, 2085, 480
29, 244, 16, 1030, 1046, 648, 802, 877

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
