Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3261, 3303, 3141, 3164, 3122
5, 107, 125, 1918, 2124, 1892, 2017, 1860
10, 67, 99, 487, 618, 452, 551, 420
11, 167, 43, 1277, 3577, 3367, 3410, 1236
12, 73, 56, 1548, 1716, 1587, 1643, 1475
13, 83, 84, 2845, 3007, 2840, 2924, 2762
14, 16, 158, 1006, 1716, 1542, 1700, 969
15, 114, 175, 3162, 3261, 2972, 3147, 3048
16, 92, 180, 941, 1006, 734, 914, 849
17, 55, 162, 1716, 1918, 1701, 1863, 1685
18, 133, 121, 1834, 1918, 1664, 1785, 1701
19, 200, 29, 2323, 2462, 2233, 2262, 2123
20, 164, 23, 3303, 3483, 3296, 3319, 3139
21, 213, 152, 3483, 3577, 3212, 3364, 3270
24, 216, 116, 618, 3577, 3245, 3361, 608
25, 107, 68, 766, 941, 766, 834, 659
27, 180, 103, 2583, 3303, 3020, 3123, 2407
28, 184, 166, 2462, 2583, 2233, 2399, 2278
29, 206, 118, 330, 3303, 2979, 3097, 86
31, 94, 94, 2647, 2670, 2482, 2576, 2553
33, 137, 157, 3007, 3162, 2868, 3025, 2870
36, 127, 64, 2276, 3162, 2971, 3035, 2226
37, 68, 65, 743, 1548, 1415, 1480, 552
38, 147, 84, 2802, 2845, 2614, 2698, 2655
39, 43, 8, 1772, 1834, 1783, 1791, 1729
40, 20, 199, 2076, 2124, 1905, 2104, 2056
41, 226, 153, 1174, 3483, 3104, 3257, 1005
42, 0, 42, 1353, 1834, 1792, 1834, 1338
44, 123, 55, 1519, 2323, 2145, 2200, 1357
46, 23, 133, 2124, 2276, 2120, 2253, 2101
47, 163, 47, 2670, 2786, 2576, 2623, 2507
49, 87, 139, 1285, 1353, 1127, 1266, 1198
50, 153, 154, 2786, 2802, 2495, 2649, 2633

Average Turnaround Time, 2121
Average Waiting Time, 1485
Average Response Time, 1209
