Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3434, 3476, 3314, 3337, 3295
5, 107, 125, 2091, 2297, 2065, 2190, 2033
10, 67, 99, 660, 791, 625, 724, 593
11, 167, 43, 1450, 3750, 3540, 3583, 1409
12, 73, 56, 1721, 1889, 1760, 1816, 1648
13, 83, 84, 3018, 3180, 3013, 3097, 2935
14, 16, 158, 1179, 1889, 1715, 1873, 1142
15, 114, 175, 3335, 3434, 3145, 3320, 3221
16, 92, 180, 1114, 1179, 907, 1087, 1022
17, 55, 162, 1889, 2091, 1874, 2036, 1858
18, 133, 121, 2007, 2091, 1837, 1958, 1874
19, 200, 29, 2496, 2635, 2406, 2435, 2296
20, 164, 23, 3476, 3656, 3469, 3492, 3312
21, 213, 152, 3656, 3750, 3385, 3537, 3443
24, 216, 116, 791, 3750, 3418, 3534, 781
25, 107, 68, 939, 1114, 939, 1007, 832
27, 180, 103, 2756, 3476, 3193, 3296, 2580
28, 184, 166, 2635, 2756, 2406, 2572, 2451
29, 206, 118, 503, 3476, 3152, 3270, 259
31, 94, 94, 2820, 2843, 2655, 2749, 2726
33, 137, 157, 3180, 3335, 3041, 3198, 3043
36, 127, 64, 2449, 3335, 3144, 3208, 2399
37, 68, 65, 916, 1721, 1588, 1653, 725
38, 147, 84, 2975, 3018, 2787, 2871, 2828
39, 43, 8, 1945, 2007, 1956, 1964, 1902
40, 20, 199, 2249, 2297, 2078, 2277, 2229
41, 226, 153, 1347, 3656, 3277, 3430, 1178
42, 0, 42, 1526, 2007, 1965, 2007, 1511
44, 123, 55, 1692, 2496, 2318, 2373, 1530
46, 23, 133, 2297, 2449, 2293, 2426, 2274
47, 163, 47, 2843, 2959, 2749, 2796, 2680
49, 87, 139, 1458, 1526, 1300, 1439, 1371
50, 153, 154, 2959, 2975, 2668, 2822, 2806

Average Turnaround Time, 2294
Average Waiting Time, 1599
Average Response Time, 1323
