Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3524, 3566, 3404, 3427, 3385
5, 107, 125, 2181, 2387, 2155, 2280, 2123
10, 67, 99, 750, 881, 715, 814, 683
11, 167, 43, 1540, 3840, 3630, 3673, 1499
12, 73, 56, 1811, 1979, 1850, 1906, 1738
13, 83, 84, 3108, 3270, 3103, 3187, 3025
14, 16, 158, 1269, 1979, 1805, 1963, 1232
15, 114, 175, 3425, 3524, 3235, 3410, 3311
16, 92, 180, 1204, 1269, 997, 1177, 1112
17, 55, 162, 1979, 2181, 1964, 2126, 1948
18, 133, 121, 2097, 2181, 1927, 2048, 1964
19, 200, 29, 2586, 2725, 2496, 2525, 2386
20, 164, 23, 3566, 3746, 3559, 3582, 3402
21, 213, 152, 3746, 3840, 3475, 3627, 3533
24, 216, 116, 881, 3840, 3508, 3624, 871
25, 107, 68, 1029, 1204, 1029, 1097, 922
27, 180, 103, 2846, 3566, 3283, 3386, 2670
28, 184, 166, 2725, 2846, 2496, 2662, 2541
29, 206, 118, 593, 3566, 3242, 3360, 349
31, 94, 94, 2910, 2933, 2745, 2839, 2816
33, 137, 157, 3270, 3425, 3131, 3288, 3133
36, 127, 64, 2539, 3425, 3234, 3298, 2489
37, 68, 65, 1006, 1811, 1678, 1743, 815
38, 147, 84, 3065, 3108, 2877, 2961, 2918
39, 43, 8, 2035, 2097, 2046, 2054, 1992
40, 20, 199, 2339, 2387, 2168, 2367, 2319
41, 226, 153, 1437, 3746, 3367, 3520, 1268
42, 0, 42, 1616, 2097, 2055, 2097, 1601
44, 123, 55, 1782, 2586, 2408, 2463, 1620
46, 23, 133, 2387, 2539, 2383, 2516, 2364
47, 163, 47, 2933, 3049, 2839, 2886, 2770
49, 87, 139, 1548, 1616, 1390, 1529, 1461
50, 153, 154, 3049, 3065, 2758, 2912, 2896

Average Turnaround Time, 2384
Average Waiting Time, 1659
Average Response Time, 1383
