Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3436, 3478, 3316, 3339, 3297
5, 107, 125, 2093, 2299, 2067, 2192, 2035
10, 67, 99, 662, 793, 627, 726, 595
11, 167, 43, 1452, 3752, 3542, 3585, 1411
12, 73, 56, 1723, 1891, 1762, 1818, 1650
13, 83, 84, 3020, 3182, 3015, 3099, 2937
14, 16, 158, 1181, 1891, 1717, 1875, 1144
15, 114, 175, 3337, 3436, 3147, 3322, 3223
16, 92, 180, 1116, 1181, 909, 1089, 1024
17, 55, 162, 1891, 2093, 1876, 2038, 1860
18, 133, 121, 2009, 2093, 1839, 1960, 1876
19, 200, 29, 2498, 2637, 2408, 2437, 2298
20, 164, 23, 3478, 3658, 3471, 3494, 3314
21, 213, 152, 3658, 3752, 3387, 3539, 3445
24, 216, 116, 793, 3752, 3420, 3536, 783
25, 107, 68, 941, 1116, 941, 1009, 834
27, 180, 103, 2758, 3478, 3195, 3298, 2582
28, 184, 166, 2637, 2758, 2408, 2574, 2453
29, 206, 118, 505, 3478, 3154, 3272, 261
31, 94, 94, 2822, 2845, 2657, 2751, 2728
33, 137, 157, 3182, 3337, 3043, 3200, 3045
36, 127, 64, 2451, 3337, 3146, 3210, 2401
37, 68, 65, 918, 1723, 1590, 1655, 727
38, 147, 84, 2977, 3020, 2789, 2873, 2830
39, 43, 8, 1947, 2009, 1958, 1966, 1904
40, 20, 199, 2251, 2299, 2080, 2279, 2231
41, 226, 153, 1349, 3658, 3279, 3432, 1180
42, 0, 42, 1528, 2009, 1967, 2009, 1513
44, 123, 55, 1694, 2498, 2320, 2375, 1532
46, 23, 133, 2299, 2451, 2295, 2428, 2276
47, 163, 47, 2845, 2961, 2751, 2798, 2682
49, 87, 139, 1460, 1528, 1302, 1441, 1373
50, 153, 154, 2961, 2977, 2670, 2824, 2808

Average Turnaround Time, 2296
Average Waiting Time, 1600
Average Response Time, 1325
