Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3420, 3462, 3300, 3323, 3281
5, 107, 125, 2077, 2283, 2051, 2176, 2019
10, 67, 99, 646, 777, 611, 710, 579
11, 167, 43, 1436, 3736, 3526, 3569, 1395
12, 73, 56, 1707, 1875, 1746, 1802, 1634
13, 83, 84, 3004, 3166, 2999, 3083, 2921
14, 16, 158, 1165, 1875, 1701, 1859, 1128
15, 114, 175, 3321, 3420, 3131, 3306, 3207
16, 92, 180, 1100, 1165, 893, 1073, 1008
17, 55, 162, 1875, 2077, 1860, 2022, 1844
18, 133, 121, 1993, 2077, 1823, 1944, 1860
19, 200, 29, 2482, 2621, 2392, 2421, 2282
20, 164, 23, 3462, 3642, 3455, 3478, 3298
21, 213, 152, 3642, 3736, 3371, 3523, 3429
24, 216, 116, 777, 3736, 3404, 3520, 767
25, 107, 68, 925, 1100, 925, 993, 818
27, 180, 103, 2742, 3462, 3179, 3282, 2566
28, 184, 166, 2621, 2742, 2392, 2558, 2437
29, 206, 118, 489, 3462, 3138, 3256, 245
31, 94, 94, 2806, 2829, 2641, 2735, 2712
33, 137, 157, 3166, 3321, 3027, 3184, 3029
36, 127, 64, 2435, 3321, 3130, 3194, 2385
37, 68, 65, 902, 1707, 1574, 1639, 711
38, 147, 84, 2961, 3004, 2773, 2857, 2814
39, 43, 8, 1931, 1993, 1942, 1950, 1888
40, 20, 199, 2235, 2283, 2064, 2263, 2215
41, 226, 153, 1333, 3642, 3263, 3416, 1164
42, 0, 42, 1512, 1993, 1951, 1993, 1497
44, 123, 55, 1678, 2482, 2304, 2359, 1516
46, 23, 133, 2283, 2435, 2279, 2412, 2260
47, 163, 47, 2829, 2945, 2735, 2782, 2666
49, 87, 139, 1444, 1512, 1286, 1425, 1357
50, 153, 154, 2945, 2961, 2654, 2808, 2792

Average Turnaround Time, 2280
Average Waiting Time, 1590
Average Response Time, 1314
