Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3448, 3490, 3328, 3351, 3309
5, 107, 125, 2105, 2311, 2079, 2204, 2047
10, 67, 99, 674, 805, 639, 738, 607
11, 167, 43, 1464, 3764, 3554, 3597, 1423
12, 73, 56, 1735, 1903, 1774, 1830, 1662
13, 83, 84, 3032, 3194, 3027, 3111, 2949
14, 16, 158, 1193, 1903, 1729, 1887, 1156
15, 114, 175, 3349, 3448, 3159, 3334, 3235
16, 92, 180, 1128, 1193, 921, 1101, 1036
17, 55, 162, 1903, 2105, 1888, 2050, 1872
18, 133, 121, 2021, 2105, 1851, 1972, 1888
19, 200, 29, 2510, 2649, 2420, 2449, 2310
20, 164, 23, 3490, 3670, 3483, 3506, 3326
21, 213, 152, 3670, 3764, 3399, 3551, 3457
24, 216, 116, 805, 3764, 3432, 3548, 795
25, 107, 68, 953, 1128, 953, 1021, 846
27, 180, 103, 2770, 3490, 3207, 3310, 2594
28, 184, 166, 2649, 2770, 2420, 2586, 2465
29, 206, 118, 517, 3490, 3166, 3284, 273
31, 94, 94, 2834, 2857, 2669, 2763, 2740
33, 137, 157, 3194, 3349, 3055, 3212, 3057
36, 127, 64, 2463, 3349, 3158, 3222, 2413
37, 68, 65, 930, 1735, 1602, 1667, 739
38, 147, 84, 2989, 3032, 2801, 2885, 2842
39, 43, 8, 1959, 2021, 1970, 1978, 1916
40, 20, 199, 2263, 2311, 2092, 2291, 2243
41, 226, 153, 1361, 3670, 3291, 3444, 1192
42, 0, 42, 1540, 2021, 1979, 2021, 1525
44, 123, 55, 1706, 2510, 2332, 2387, 1544
46, 23, 133, 2311, 2463, 2307, 2440, 2288
47, 163, 47, 2857, 2973, 2763, 2810, 2694
49, 87, 139, 1472, 1540, 1314, 1453, 1385
50, 153, 154, 2973, 2989, 2682, 2836, 2820

Average Turnaround Time, 2308
Average Waiting Time, 1608
Average Response Time, 1332
