Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3433, 3475, 3313, 3336, 3294
5, 107, 125, 2090, 2296, 2064, 2189, 2032
10, 67, 99, 659, 790, 624, 723, 592
11, 167, 43, 1449, 3749, 3539, 3582, 1408
12, 73, 56, 1720, 1888, 1759, 1815, 1647
13, 83, 84, 3017, 3179, 3012, 3096, 2934
14, 16, 158, 1178, 1888, 1714, 1872, 1141
15, 114, 175, 3334, 3433, 3144, 3319, 3220
16, 92, 180, 1113, 1178, 906, 1086, 1021
17, 55, 162, 1888, 2090, 1873, 2035, 1857
18, 133, 121, 2006, 2090, 1836, 1957, 1873
19, 200, 29, 2495, 2634, 2405, 2434, 2295
20, 164, 23, 3475, 3655, 3468, 3491, 3311
21, 213, 152, 3655, 3749, 3384, 3536, 3442
24, 216, 116, 790, 3749, 3417, 3533, 780
25, 107, 68, 938, 1113, 938, 1006, 831
27, 180, 103, 2755, 3475, 3192, 3295, 2579
28, 184, 166, 2634, 2755, 2405, 2571, 2450
29, 206, 118, 502, 3475, 3151, 3269, 258
31, 94, 94, 2819, 2842, 2654, 2748, 2725
33, 137, 157, 3179, 3334, 3040, 3197, 3042
36, 127, 64, 2448, 3334, 3143, 3207, 2398
37, 68, 65, 915, 1720, 1587, 1652, 724
38, 147, 84, 2974, 3017, 2786, 2870, 2827
39, 43, 8, 1944, 2006, 1955, 1963, 1901
40, 20, 199, 2248, 2296, 2077, 2276, 2228
41, 226, 153, 1346, 3655, 3276, 3429, 1177
42, 0, 42, 1525, 2006, 1964, 2006, 1510
44, 123, 55, 1691, 2495, 2317, 2372, 1529
46, 23, 133, 2296, 2448, 2292, 2425, 2273
47, 163, 47, 2842, 2958, 2748, 2795, 2679
49, 87, 139, 1457, 1525, 1299, 1438, 1370
50, 153, 154, 2958, 2974, 2667, 2821, 2805

Average Turnaround Time, 2293
Average Waiting Time, 1598
Average Response Time, 1323
