Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3558, 3600, 3438, 3461, 3419
5, 107, 125, 2215, 2421, 2189, 2314, 2157
10, 67, 99, 784, 915, 749, 848, 717
11, 167, 43, 1574, 3874, 3664, 3707, 1533
12, 73, 56, 1845, 2013, 1884, 1940, 1772
13, 83, 84, 3142, 3304, 3137, 3221, 3059
14, 16, 158, 1303, 2013, 1839, 1997, 1266
15, 114, 175, 3459, 3558, 3269, 3444, 3345
16, 92, 180, 1238, 1303, 1031, 1211, 1146
17, 55, 162, 2013, 2215, 1998, 2160, 1982
18, 133, 121, 2131, 2215, 1961, 2082, 1998
19, 200, 29, 2620, 2759, 2530, 2559, 2420
20, 164, 23, 3600, 3780, 3593, 3616, 3436
21, 213, 152, 3780, 3874, 3509, 3661, 3567
24, 216, 116, 915, 3874, 3542, 3658, 905
25, 107, 68, 1063, 1238, 1063, 1131, 956
27, 180, 103, 2880, 3600, 3317, 3420, 2704
28, 184, 166, 2759, 2880, 2530, 2696, 2575
29, 206, 118, 627, 3600, 3276, 3394, 383
31, 94, 94, 2944, 2967, 2779, 2873, 2850
33, 137, 157, 3304, 3459, 3165, 3322, 3167
36, 127, 64, 2573, 3459, 3268, 3332, 2523
37, 68, 65, 1040, 1845, 1712, 1777, 849
38, 147, 84, 3099, 3142, 2911, 2995, 2952
39, 43, 8, 2069, 2131, 2080, 2088, 2026
40, 20, 199, 2373, 2421, 2202, 2401, 2353
41, 226, 153, 1471, 3780, 3401, 3554, 1302
42, 0, 42, 1650, 2131, 2089, 2131, 1635
44, 123, 55, 1816, 2620, 2442, 2497, 1654
46, 23, 133, 2421, 2573, 2417, 2550, 2398
47, 163, 47, 2967, 3083, 2873, 2920, 2804
49, 87, 139, 1582, 1650, 1424, 1563, 1495
50, 153, 154, 3083, 3099, 2792, 2946, 2930

Average Turnaround Time, 2418
Average Waiting Time, 1681
Average Response Time, 1405
