Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3342, 3384, 3222, 3245, 3203
5, 107, 125, 1999, 2205, 1973, 2098, 1941
10, 67, 99, 568, 699, 533, 632, 501
11, 167, 43, 1358, 3658, 3448, 3491, 1317
12, 73, 56, 1629, 1797, 1668, 1724, 1556
13, 83, 84, 2926, 3088, 2921, 3005, 2843
14, 16, 158, 1087, 1797, 1623, 1781, 1050
15, 114, 175, 3243, 3342, 3053, 3228, 3129
16, 92, 180, 1022, 1087, 815, 995, 930
17, 55, 162, 1797, 1999, 1782, 1944, 1766
18, 133, 121, 1915, 1999, 1745, 1866, 1782
19, 200, 29, 2404, 2543, 2314, 2343, 2204
20, 164, 23, 3384, 3564, 3377, 3400, 3220
21, 213, 152, 3564, 3658, 3293, 3445, 3351
24, 216, 116, 699, 3658, 3326, 3442, 689
25, 107, 68, 847, 1022, 847, 915, 740
27, 180, 103, 2664, 3384, 3101, 3204, 2488
28, 184, 166, 2543, 2664, 2314, 2480, 2359
29, 206, 118, 411, 3384, 3060, 3178, 167
31, 94, 94, 2728, 2751, 2563, 2657, 2634
33, 137, 157, 3088, 3243, 2949, 3106, 2951
36, 127, 64, 2357, 3243, 3052, 3116, 2307
37, 68, 65, 824, 1629, 1496, 1561, 633
38, 147, 84, 2883, 2926, 2695, 2779, 2736
39, 43, 8, 1853, 1915, 1864, 1872, 1810
40, 20, 199, 2157, 2205, 1986, 2185, 2137
41, 226, 153, 1255, 3564, 3185, 3338, 1086
42, 0, 42, 1434, 1915, 1873, 1915, 1419
44, 123, 55, 1600, 2404, 2226, 2281, 1438
46, 23, 133, 2205, 2357, 2201, 2334, 2182
47, 163, 47, 2751, 2867, 2657, 2704, 2588
49, 87, 139, 1366, 1434, 1208, 1347, 1279
50, 153, 154, 2867, 2883, 2576, 2730, 2714

Average Turnaround Time, 2202
Average Waiting Time, 1538
Average Response Time, 1263
